epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8823,0.71828,1.26512,0.99031,0.99403,0.96409,0.96679,0.83725,0.56461,0.62544,0.89958,0.000475566,0.000475566,0.000475566
2,146.769,0.69194,0.7459,0.98498,0.98991,0.96081,0.96206,0.84136,0.53385,0.42608,0.91119,0.000914204,0.000914204,0.000914204
3,214.151,0.67699,0.61361,0.98047,0.99518,0.96304,0.96794,0.86796,0.47809,0.36478,0.87992,0.00131512,0.00131512,0.00131512
4,281.315,0.64924,0.54497,0.97353,0.99533,0.96409,0.96609,0.87557,0.44901,0.34498,0.87027,0.00125923,0.00125923,0.00125923
5,349.24,0.61115,0.49941,0.95543,0.99602,0.96409,0.9675,0.88847,0.42602,0.31282,0.85393,0.00120265,0.00120265,0.00120265
6,416.102,0.5873,0.45829,0.94889,0.99256,0.96409,0.9648,0.86901,0.44894,0.32502,0.87552,0.00114606,0.00114606,0.00114606
